All Inconsistent Naming Entries
================================================================================

Total: 1331
Categories: affixation=1007, evolution=240, policy=526, unknown=0

ace | categories: affixation
libxt-dev | categories: affixation
libxtst-dev | categories: affixation
libxxf86vm | categories: affixation,policy
libyaml | categories: affixation,evolution
libyaml-dev | categories: affixation
libzip-dev | categories: affixation
libzmqpp3 | categories: policy
libzstd-dev | categories: affixation
linux-kernel-headers | categories: affixation,policy
llvm-7 | categories: evolution
llvm-7-dev | categories: evolution
llvm-dev | categories: affixation
lm-sensors | categories: affixation,policy
log4cplus | categories: affixation
log4cxx | categories: affixation
lsb-release | categories: affixation,policy
lttng-modules | categories: policy
lua-dev | categories: affixation,evolution
lua5.2-dev | categories: affixation,evolution,policy
lz4 | categories: affixation
m2r | categories: affixation
mapnik-utils | categories: affixation
matio | categories: affixation
maven | categories: affixation
mayavi | categories: evolution
mesa-utils | categories: policy
mongodb-dev | categories: policy
mono-complete | categories: policy
mono-devel | categories: affixation
mosquitto-clients | categories: policy
mosquitto-dev | categories: affixation
mosquittopp-dev | categories: affixation,policy
mpfr | categories: affixation
mpg123 | categories: affixation
mrpt | categories: affixation
msgpack | categories: affixation,policy
muparser | categories: affixation
nanobind-dev | categories: affixation
netpbm | categories: affixation,evolution
network-manager | categories: policy
ninja-build | categories: policy
nite-dev | categories: policy
nlohmann-json-dev | categories: affixation,evolution,policy
nodejs-legacy | categories: policy
npm | categories: policy
ntpdate | categories: policy
nvidia-cg | categories: policy
nvidia-cuda | categories: policy
nvidia-cudnn | categories: policy
ocl-icd-opencl-dev | categories: affixation,policy
opende | categories: affixation
openni-dev | categories: affixation
openssh-client | categories: affixation,policy
openssh-server | categories: affixation
osmium | categories: affixation,evolution
pandoc | categories: affixation
paramiko | categories: affixation
pcre | categories: affixation,evolution
pcre-dev | categories: affixation,policy
pcscd | categories: policy
pika | categories: affixation
pkg-config | categories: policy
polyclipping-dev | categories: affixation
poppler-utils | categories: affixation
portaudio | categories: affixation,policy
portaudio19-dev | categories: evolution,policy
postgresql-client | categories: affixation
procps | categories: policy
proj | categories: affixation
protobuf | categories: evolution
protobuf-compiler-grpc | categories: affixation,policy
ps-engine | categories: policy
pugixml-dev | categories: affixation
pybind11-dev | categories: affixation
pybind11-json-dev | categories: affixation
pydocstyle | categories: affixation
pyflakes3 | categories: affixation,evolution
pyqt4-dev-tools | categories: affixation
pyqt5-dev-tools | categories: affixation,policy
pyqt6-dev-tools | categories: affixation
pyro4 | categories: affixation,evolution
python | categories: affixation,evolution
python-alembic | categories: affixation
python-amqp | categories: affixation
python-aniso8601 | categories: affixation
python-anyjson | categories: affixation
python-apparmor | categories: policy
python-argcomplete | categories: affixation
python-argh | categories: affixation
python-argparse | categories: evolution,policy
python-attrs | categories: policy
python-autobahn | categories: affixation
python-avahi | categories: affixation,policy
python-babel | categories: affixation
python-backports.ssl-match-hostname | categories: policy
python-bcrypt | categories: affixation
python-beautifulsoup | categories: affixation,evolution
python-bitarray | categories: affixation
python-blinker | categories: affixation
python-bloom | categories: affixation
python-bluez | categories: affixation,policy
python-boltons | categories: affixation
python-boto3 | categories: affixation
python-bottle | categories: affixation
python-bs4 | categories: evolution,policy
python-bson | categories: affixation,policy
python-cairo | categories: affixation,policy
python-cairosvg | categories: affixation
python-catkin-lint | categories: affixation
python-catkin-pkg | categories: affixation
python-catkin-pkg-modules | categories: affixation
python-catkin-sphinx | categories: affixation
python-catkin-tools | categories: affixation
python-cbor | categories: affixation
python-celery | categories: affixation
python-certifi | categories: affixation
python-cheetah | categories: affixation
python-cherrypy | categories: affixation,evolution
python-click | categories: affixation
python-colorama | categories: affixation
python-concurrent.futures | categories: policy
python-configparser | categories: affixation
python-construct | categories: affixation
python-cookiecutter | categories: affixation
python-couchdb | categories: policy
python-coverage | categories: affixation
python-crcmod | categories: affixation
python-crypto | categories: affixation,policy
python-cryptography | categories: affixation
python-cwiid | categories: affixation,policy
python-dateutil | categories: affixation
python-decorator | categories: affixation
python-defusedxml | categories: affixation
python-dev | categories: affixation,evolution
python-django | categories: affixation
python-docopt | categories: affixation
python-docutils | categories: affixation
python-empy | categories: affixation
python-enum34 | categories: affixation
python-expiringdict | categories: affixation
python-falcon | categories: affixation
python-fixtures | categories: affixation
python-flake8 | categories: affixation
