entry_name,platform1,platform2,jaccard_similarity,file_count1,file_count2,intersection,union
collectd,fedora_42,ubuntu_noble,0.0,164,7,0,171
collectd,fedora_43,ubuntu_focal,0.0,164,10,0,174
collectd,fedora_43,ubuntu_noble,0.0,164,7,0,171
cppunit,alpine_edge,debian_bookworm,0.0,3,78,0,81
cppunit,alpine_edge,fedora_42,0.0,3,74,0,77
cppunit,alpine_edge,fedora_43,0.0,3,74,0,77
cppunit,alpine_edge,rhel_8,0.0,3,74,0,77
cppunit,alpine_edge,rhel_9,0.0,3,74,0,77
cppunit,alpine_edge,ubuntu_focal,0.0,3,76,0,79
cppunit,alpine_edge,ubuntu_jammy,0.0,3,76,0,79
cppunit,alpine_edge,ubuntu_noble,0.0,3,76,0,79
crypto++,arch,debian_bookworm,0.0,197,202,0,399
crypto++,arch,ubuntu_focal,0.0,197,153,0,350
crypto++,arch,ubuntu_jammy,0.0,197,201,0,398
crypto++,arch,ubuntu_noble,0.0,197,201,0,398
crypto++,debian_bookworm,fedora_42,0.0,202,3485,0,3687
crypto++,debian_bookworm,fedora_43,0.0,202,3485,0,3687
crypto++,fedora_42,ubuntu_focal,0.0,3485,153,0,3638
crypto++,fedora_42,ubuntu_jammy,0.0,3485,201,0,3686
crypto++,fedora_42,ubuntu_noble,0.0,3485,201,0,3686
crypto++,fedora_43,ubuntu_focal,0.0,3485,153,0,3638
crypto++,fedora_43,ubuntu_jammy,0.0,3485,201,0,3686
crypto++,fedora_43,ubuntu_noble,0.0,3485,201,0,3686
cython3,debian_bookworm,fedora_42,0.0,315,692,0,1007
cython3,debian_bookworm,fedora_43,0.0,315,714,0,1029
cython3,fedora_42,ubuntu_focal,0.0,692,306,0,998
cython3,fedora_42,ubuntu_jammy,0.0,692,313,0,1005
cython3,fedora_43,ubuntu_focal,0.0,714,306,0,1020
cython3,fedora_43,ubuntu_jammy,0.0,714,313,0,1027
emacs,arch,debian_bookworm,0.0,5916,2,0,5918
emacs,arch,ubuntu_focal,0.0,5916,2,0,5918
emacs,arch,ubuntu_jammy,0.0,5916,2,0,5918
emacs,arch,ubuntu_noble,0.0,5916,2,0,5918
emacs,debian_bookworm,fedora_42,0.0,2,1607,0,1609
emacs,fedora_42,ubuntu_focal,0.0,1607,2,0,1609
emacs,fedora_42,ubuntu_jammy,0.0,1607,2,0,1609
emacs,fedora_42,ubuntu_noble,0.0,1607,2,0,1609
embree,arch,ubuntu_focal,0.0,162,128,0,290
embree,arch,ubuntu_jammy,0.0,162,138,0,300
embree,fedora_42,ubuntu_focal,0.0,138,128,0,266
embree,fedora_42,ubuntu_jammy,0.0,138,138,0,276
embree,fedora_42,ubuntu_noble,0.0,138,150,0,288
embree,fedora_43,ubuntu_focal,0.0,246,128,0,374
embree,fedora_43,ubuntu_jammy,0.0,246,138,0,384
embree,fedora_43,ubuntu_noble,0.0,246,150,0,396
ethtool,alpine_edge,debian_bookworm,0.0,2,11,0,13
ethtool,alpine_edge,fedora_42,0.0,2,10,0,12
ethtool,alpine_edge,ubuntu_focal,0.0,2,11,0,13
ethtool,alpine_edge,ubuntu_jammy,0.0,2,11,0,13
fluid,debian_bookworm,fedora_42,0.0,148,9,0,157
fluid,debian_bookworm,fedora_43,0.0,148,9,0,157
fluid,debian_bookworm,ubuntu_focal,0.0,148,15,0,163
fluid,debian_bookworm,ubuntu_jammy,0.0,148,15,0,163
fluid,debian_bookworm,ubuntu_noble,0.0,148,14,0,162
freetype,alpine_edge,debian_bookworm,0.0,2,6,0,8
freetype,alpine_edge,ubuntu_focal,0.0,2,5,0,7
freetype,alpine_edge,ubuntu_jammy,0.0,2,5,0,7
freetype,alpine_edge,ubuntu_noble,0.0,2,5,0,7
freetype,arch,debian_bookworm,0.0,62,6,0,68
freetype,arch,ubuntu_focal,0.0,62,5,0,67
freetype,arch,ubuntu_jammy,0.0,62,5,0,67
freetype,arch,ubuntu_noble,0.0,62,5,0,67
freetype,debian_bookworm,fedora_42,0.0,6,10,0,16
freetype,debian_bookworm,fedora_43,0.0,6,10,0,16
freetype,fedora_42,ubuntu_focal,0.0,10,5,0,15
freetype,fedora_42,ubuntu_jammy,0.0,10,5,0,15
freetype,fedora_42,ubuntu_noble,0.0,10,5,0,15
freetype,fedora_43,ubuntu_focal,0.0,10,5,0,15
freetype,fedora_43,ubuntu_jammy,0.0,10,5,0,15
freetype,fedora_43,ubuntu_noble,0.0,10,5,0,15
gettext-base,debian_bookworm,fedora_42,0.0,68,152,0,220
gettext-base,debian_bookworm,fedora_43,0.0,68,152,0,220
gettext-base,fedora_42,ubuntu_focal,0.0,152,21,0,173
gettext-base,fedora_42,ubuntu_jammy,0.0,152,26,0,178
gettext-base,fedora_42,ubuntu_noble,0.0,152,26,0,178
gettext-base,fedora_43,ubuntu_focal,0.0,152,21,0,173
gettext-base,fedora_43,ubuntu_jammy,0.0,152,26,0,178
gettext-base,fedora_43,ubuntu_noble,0.0,152,26,0,178
git,debian_bookworm,fedora_43,0.0,851,8,0,859
git,fedora_43,ubuntu_focal,0.0,8,702,0,710
git,fedora_43,ubuntu_jammy,0.0,8,748,0,756
git,fedora_43,ubuntu_noble,0.0,8,831,0,839
glut,arch,debian_bookworm,0.0,102,3,0,105
glut,arch,ubuntu_noble,0.0,102,2,0,104
glut,debian_bookworm,fedora_42,0.0,3,370,0,373
glut,debian_bookworm,fedora_43,0.0,3,370,0,373
glut,debian_bookworm,opensuse_15.2,0.0,3,149,0,152
glut,debian_bookworm,rhel_8,0.0,3,146,0,149
glut,debian_bookworm,rhel_9,0.0,3,155,0,158
glut,fedora_42,ubuntu_noble,0.0,370,2,0,372
glut,fedora_43,ubuntu_noble,0.0,370,2,0,372
glut,opensuse_15.2,ubuntu_noble,0.0,149,2,0,151
glut,rhel_8,ubuntu_noble,0.0,146,2,0,148
glut,rhel_9,ubuntu_noble,0.0,155,2,0,157
gnuplot,arch,debian_bookworm,0.0,50,3,0,53
gnuplot,arch,ubuntu_focal,0.0,50,3,0,53
gnuplot,arch,ubuntu_jammy,0.0,50,3,0,53
gnuplot,arch,ubuntu_noble,0.0,50,2,0,52
gnuplot,debian_bookworm,fedora_42,0.0,3,9,0,12
gnuplot,debian_bookworm,fedora_43,0.0,3,9,0,12
gnuplot,fedora_42,ubuntu_focal,0.0,9,3,0,12
gnuplot,fedora_42,ubuntu_jammy,0.0,9,3,0,12
gnuplot,fedora_42,ubuntu_noble,0.0,9,2,0,11
gnuplot,fedora_43,ubuntu_focal,0.0,9,3,0,12
gnuplot,fedora_43,ubuntu_jammy,0.0,9,3,0,12
gnuplot,fedora_43,ubuntu_noble,0.0,9,2,0,11
google-mock,alpine_edge,debian_bookworm,0.0,2,3,0,5
google-mock,alpine_edge,fedora_42,0.0,2,50,0,52
google-mock,alpine_edge,fedora_43,0.0,2,50,0,52
google-mock,alpine_edge,opensuse_15.2,0.0,2,41,0,43
google-mock,alpine_edge,rhel_8,0.0,2,53,0,55
google-mock,alpine_edge,rhel_9,0.0,2,46,0,48
google-mock,alpine_edge,ubuntu_focal,0.0,2,3,0,5
google-mock,alpine_edge,ubuntu_jammy,0.0,2,3,0,5
google-mock,alpine_edge,ubuntu_noble,0.0,2,3,0,5
google-mock,arch,debian_bookworm,0.0,59,3,0,62
google-mock,arch,ubuntu_focal,0.0,59,3,0,62
google-mock,arch,ubuntu_jammy,0.0,59,3,0,62
google-mock,arch,ubuntu_noble,0.0,59,3,0,62
google-mock,debian_bookworm,fedora_42,0.0,3,50,0,53
