entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
azure-mgmt-storage-pip,B.2,azure-mgmt-storage-pip,,,,,,,,,,pip,fedora,41,python3-azure-mgmt-storage,Entry 'azure-mgmt-storage-pip' using pip but package 'python3-azure-mgmt-storage' available in fedora 41,ok
azure-mgmt-storage-pip,B.2,azure-mgmt-storage-pip,,,,,,,,,,pip,ubuntu,jammy,python3-azure,Entry 'azure-mgmt-storage-pip' using pip but package 'python3-azure' available in ubuntu jammy,ok
azure-storage-file-share-pip,A.2,azure-storage-file-share-pip,platform,nixos,unstable,,,,,,,,,,python313Packages.azure-storage-file-share,Entry 'azure-storage-file-share-pip' missing version 'unstable' for platform 'nixos'; suggested package: 'python313Packages.azure-storage-file-share',ok
azure-storage-file-share-pip,B.2,azure-storage-file-share-pip,,,,,,,,,,pip,debian,bookworm,python3-azure-storage,Entry 'azure-storage-file-share-pip' using pip but package 'python3-azure-storage' available in debian bookworm,ok
azure-storage-file-share-pip,B.2,azure-storage-file-share-pip,,,,,,,,,,pip,ubuntu,jammy,python3-azure-storage,Entry 'azure-storage-file-share-pip' using pip but package 'python3-azure-storage' available in ubuntu jammy,ok
babeltrace,A.2,babeltrace,platform,alpine,edge,,,,,,,,,,babeltrace,Entry 'babeltrace' missing version 'edge' for platform 'alpine'; suggested package: 'babeltrace',ok
babeltrace,A.2,babeltrace,platform,opensuse,15.2,,,,,,,,,,babeltrace,Entry 'babeltrace' missing version '15.2' for platform 'opensuse'; suggested package: 'babeltrace',ok
babeltrace,A.2,babeltrace,platform,rhel,8,,,,,,,,,,libbabeltrace-devel,Entry 'babeltrace' missing version '8' for platform 'rhel'; suggested package: 'libbabeltrace-devel',ok
babeltrace,A.2,babeltrace,platform,rhel,9,,,,,,,,,,python3-babeltrace,Entry 'babeltrace' missing version '9' for platform 'rhel'; suggested package: 'python3-babeltrace',ok
babeltrace,B.1a,babeltrace,,arch,,babeltrace,,,,,,,,,,Package 'babeltrace' not found in arch ,ok
bandit,,bandit,,,,,,,,,,,,,,,no_issues
bazaar,,bazaar,,,,,,,,,,,,,,,no_issues
beep,A.2,beep,platform,alpine,edge,,,,,,,,,,beep,Entry 'beep' missing version 'edge' for platform 'alpine'; suggested package: 'beep',ok
beep,A.2,beep,platform,rhel,8,,,,,,,,,,beep,Entry 'beep' missing version '8' for platform 'rhel'; suggested package: 'beep',ok
beep,A.2,beep,platform,rhel,9,,,,,,,,,,beep,Entry 'beep' missing version '9' for platform 'rhel'; suggested package: 'beep',ok
benchmark,A.2,benchmark,platform,alpine,edge,,,,,,,,,,benchmark-dev,Entry 'benchmark' missing version 'edge' for platform 'alpine'; suggested package: 'benchmark-dev',ok
benchmark,A.2,benchmark,platform,opensuse,15.2,,,,,,,,,,benchmark-devel,Entry 'benchmark' missing version '15.2' for platform 'opensuse'; suggested package: 'benchmark-devel',ok
binutils,A.2,binutils,platform,alpine,edge,,,,,,,,,,binutils-dev,Entry 'binutils' missing version 'edge' for platform 'alpine'; suggested package: 'binutils-dev',ok
binutils,A.2,binutils,platform,opensuse,15.2,,,,,,,,,,binutils-devel,Entry 'binutils' missing version '15.2' for platform 'opensuse'; suggested package: 'binutils-devel',ok
binutils,B.1b,binutils,,nixos,unstable,binutils,binutils-unwrapped,,,,,,,,,Package 'binutils' differs from expected 'binutils-unwrapped' in nixos unstable,ok
bison,A.2,bison,platform,opensuse,15.2,,,,,,,,,,bison,Entry 'bison' missing version '15.2' for platform 'opensuse'; suggested package: 'bison',ok
black,,black,,,,,,,,,,,,,,,no_issues
blender,A.2,blender,platform,alpine,edge,,,,,,,,,,blender,Entry 'blender' missing version 'edge' for platform 'alpine'; suggested package: 'blender',ok
blender,A.2,blender,platform,opensuse,15.2,,,,,,,,,,blender,Entry 'blender' missing version '15.2' for platform 'opensuse'; suggested package: 'blender',ok
blender,A.2,blender,platform,rhel,9,,,,,,,,,,blender,Entry 'blender' missing version '9' for platform 'rhel'; suggested package: 'blender',ok
bluez,A.2,bluez,platform,alpine,edge,,,,,,,,,,bluez,Entry 'bluez' missing version 'edge' for platform 'alpine'; suggested package: 'bluez',ok
bluez,A.2,bluez,platform,opensuse,15.2,,,,,,,,,,bluez,Entry 'bluez' missing version '15.2' for platform 'opensuse'; suggested package: 'bluez',ok
